1,900,1100,1230,200,1900,2030,200,2300,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,
0,39905.8,46878.2,43598.7,19812.1,26116.5,42770.3,29266.3,29085.5,34129.6,36791.3,455.009,43170.6,26198.9,30505.6,14594.8,48983.2,23674.1,32435.1,32625.7
39905.8,0,11637.3,11393.7,26359.5,28742.4,3293.86,40037.3,63304.4,67431.9,3986.65,40228.4,10599.4,30439.5,28545.4,52204.5,22746.9,16963.6,16803.9,28677.6
46878.2,11637.3,0,3819.18,29659.1,28991.7,12113.8,39186.3,66434.1,69996.2,11871.5,47261.7,3911.65,30512.4,27047.4,57325.8,12619.7,23277.1,16513.1,26306.9
43598.7,11393.7,3819.18,0,25979.4,25172.6,12868.6,35417.5,62648.3,66188.4,10326.1,43992.4,800.082,26695.3,23275.7,53713.8,11369.2,20174.5,12720.8,22596.1
19812.1,26359.5,29659.1,25979.4,0,7589.89,29642.4,16774.7,37188.5,41145.3,22459.8,20260.7,25752.5,8563.35,11539.7,27802.8,29495.9,10523.1,13553.3,13542.2
26116.5,28742.4,28991.7,25172.6,7589.89,0,31990.7,11366.3,37899.9,41163.3,24767,26571.4,25180.4,1701.29,4397.12,31257.7,25649.3,15879.6,12705.9,6521.09
42770.3,3293.86,12113.8,12868.6,29642.4,31990.7,0,43262.1,66541.4,70692.9,7270.37,43080,12122.9,33685.4,31680.2,55295.1,24151.9,20124.5,19906.5,31733.4
29266.3,40037.3,39186.3,35417.5,16774.7,11366.3,43262.1,0,30817.9,33061.3,36076.1,29683.6,35553,9668.64,12141.9,28728.3,33283.9,26740.8,23603.5,13054.3
29085.5,63304.4,66434.1,62648.3,37188.5,37899.9,66541.4,30817.9,0,5106.5,59503.6,29109.3,62534.9,36631.2,41063.1,14897.9,63199.7,46508.4,49927.6,42678.8
34129.6,67431.9,69996.2,66188.4,41145.3,41163.3,70692.9,33061.3,5106.5,0,63577.8,34164.3,66120.1,39785.5,44009.4,20004.3,66038.6,50780.7,53492.3,45483.1
36791.3,3986.65,11871.5,10326.1,22459.8,24767,7270.37,36076.1,59503.6,63577.8,0,37134.1,9550.96,26465.4,24673.5,48683.5,21194.5,13416.9,13002.4,24893.3
455.009,40228.4,47261.7,43992.4,20260.7,26571.4,43080,29683.6,29109.3,34164.3,37134.1,0,43560.7,26652.5,30960.6,14545.7,49416.7,24044.3,32860.5,33080.7
43170.6,10599.4,3911.65,800.082,25752.5,25180.4,12122.9,35553,62534.9,66120.1,9550.96,43560.7,0,26725.8,23414.9,53441.3,12155.8,19676.2,12628,22803.9
26198.9,30439.5,30512.4,26695.3,8563.35,1701.29,33685.4,9668.64,36631.2,39785.5,26465.4,26652.5,26725.8,0,4792.34,30529.9,26703.9,17426.2,14323.2,6823.66
30505.6,28545.4,27047.4,23275.7,11539.7,4397.12,31680.2,12141.9,41063.1,44009.4,24673.5,30960.6,23414.9,4792.34,0,35322.2,22141.1,18059.9,11782.2,2124.01
14594.8,52204.5,57325.8,53713.8,27802.8,31257.7,55295.1,28728.3,14897.9,20004.3,48683.5,14545.7,53441.3,30529.9,35322.2,0,56688.9,35275.6,41347.2,37317.4
48983.2,22746.9,12619.7,11369.2,29495.9,25649.3,24151.9,33283.9,63199.7,66038.6,21194.5,49416.7,12155.8,26703.9,22141.1,56688.9,0,27480.3,16691.4,20559.1
23674.1,16963.6,23277.1,20174.5,10523.1,15879.6,20124.5,26740.8,46508.4,50780.7,13416.9,24044.3,19676.2,17426.2,18059.9,35275.6,27480.3,0,11346.5,19373.4
32435.1,16803.9,16513.1,12720.8,13553.3,12705.9,19906.5,23603.5,49927.6,53492.3,13002.4,32860.5,12628,14323.2,11782.2,41347.2,16691.4,11346.5,0,11891.2
32625.7,28677.6,26306.9,22596.1,13542.2,6521.09,31733.4,13054.3,42678.8,45483.1,24893.3,33080.7,22803.9,6823.66,2124.01,37317.4,20559.1,19373.4,11891.2,0
